StationId,StationName,SensorId,ParameterName
114,"Wrocław, ul. Bartnicza",642,dwutlenek azotu
114,"Wrocław, ul. Bartnicza",644,ozon
117,"Wrocław, wyb. Conrada-Korzeniowskiego",672,dwutlenek siarki
117,"Wrocław, wyb. Conrada-Korzeniowskiego",658,benzen
117,"Wrocław, wyb. Conrada-Korzeniowskiego",660,tlenek węgla
117,"Wrocław, wyb. Conrada-Korzeniowskiego",665,dwutlenek azotu
117,"Wrocław, wyb. Conrada-Korzeniowskiego",667,ozon
117,"Wrocław, wyb. Conrada-Korzeniowskiego",670,pył zawieszony PM2.5
117,"Wrocław, wyb. Conrada-Korzeniowskiego",14395,pył zawieszony PM10
129,"Wrocław, al. Wiśniowa",737,tlenek węgla
129,"Wrocław, al. Wiśniowa",740,dwutlenek azotu
129,"Wrocław, al. Wiśniowa",744,pył zawieszony PM2.5
52,"Legnica, al. Rzeczypospolitej",282,benzen
52,"Legnica, al. Rzeczypospolitej",285,tlenek węgla
52,"Legnica, al. Rzeczypospolitej",291,dwutlenek azotu
52,"Legnica, al. Rzeczypospolitej",293,ozon
52,"Legnica, al. Rzeczypospolitej",297,dwutlenek siarki
52,"Legnica, al. Rzeczypospolitej",14397,pył zawieszony PM10
109,"Wałbrzych, ul. Wysockiego",605,benzen
109,"Wałbrzych, ul. Wysockiego",608,tlenek węgla
109,"Wałbrzych, ul. Wysockiego",614,dwutlenek azotu
109,"Wałbrzych, ul. Wysockiego",616,ozon
109,"Wałbrzych, ul. Wysockiego",618,pył zawieszony PM10
109,"Wałbrzych, ul. Wysockiego",621,dwutlenek siarki
11,Czerniawa,50,dwutlenek azotu
11,Czerniawa,52,ozon
11,Czerniawa,54,pył zawieszony PM10
16,"Dzierżoniów, ul. Piłsudskiego",101,pył zawieszony PM10
38,"Kłodzko, ul. Szkolna",221,dwutlenek azotu
38,"Kłodzko, ul. Szkolna",223,ozon
38,"Kłodzko, ul. Szkolna",224,pył zawieszony PM10
38,"Kłodzko, ul. Szkolna",25988,pył zawieszony PM2.5
74,Osieczów,441,dwutlenek azotu
74,Osieczów,444,ozon
74,Osieczów,450,dwutlenek siarki
9153,"Jelenia Góra, ul. Ogińskiego",14727,dwutlenek azotu
9153,"Jelenia Góra, ul. Ogińskiego",14729,ozon
9153,"Jelenia Góra, ul. Ogińskiego",14730,pył zawieszony PM10
9153,"Jelenia Góra, ul. Ogińskiego",14731,pył zawieszony PM2.5
9153,"Jelenia Góra, ul. Ogińskiego",14733,dwutlenek siarki
9153,"Jelenia Góra, ul. Ogińskiego",14734,benzen
9153,"Jelenia Góra, ul. Ogińskiego",14707,tlenek węgla
11254,"Nowa Ruda, ul. Jeziorna",20210,pył zawieszony PM10
11934,"Trzebnica, ul. 3 Maja",21368,dwutlenek azotu
11934,"Trzebnica, ul. 3 Maja",21370,pył zawieszony PM10
11934,"Trzebnica, ul. 3 Maja",21371,ozon
12055,Strzegom,29112,dwutlenek azotu
12055,Strzegom,21628,ozon
12055,Strzegom,21636,pył zawieszony PM10
12056,"Chojnów, ul. S. Małachowskiego ",21642,pył zawieszony PM10
12056,"Chojnów, ul. S. Małachowskiego ",21644,pył zawieszony PM2.5
17780,"Kudowa-Zdrój, ul. Szkolna ",29567,pył zawieszony PM10
17780,"Kudowa-Zdrój, ul. Szkolna ",29568,pył zawieszony PM2.5
156,"Bydgoszcz, pl. Poznański",949,benzen
156,"Bydgoszcz, pl. Poznański",952,tlenek węgla
156,"Bydgoszcz, pl. Poznański",959,dwutlenek azotu
156,"Bydgoszcz, pl. Poznański",965,pył zawieszony PM10
156,"Bydgoszcz, pl. Poznański",966,pył zawieszony PM2.5
158,"Bydgoszcz, ul. Warszawska",991,dwutlenek azotu
